Bos-MacBook-Pro:newCRF bozheng$ crf_learn -f 3 -p 4 templatetest.txt training2.data resultmodel
CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data:
Done!9.96 s

Number of sentences: 1
Number of features:  20694
Number of thread(s): 4
Freq:                3
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=277 terr=0.00183 serr=1.00000 act=20694 obj=145.01874 diff=0.00277
iter=278 terr=0.00183 serr=1.00000 act=20694 obj=144.83136 diff=0.00129
iter=279 terr=0.00146 serr=1.00000 act=20694 obj=144.56539 diff=0.00184
iter=280 terr=0.00140 serr=1.00000 act=20694 obj=143.14673 diff=0.00981
iter=281 terr=0.01481 serr=1.00000 act=20694 obj=208.31127 diff=0.45523
iter=282 terr=0.00140 serr=1.00000 act=20694 obj=142.97607 diff=0.31364
iter=283 terr=0.00106 serr=1.00000 act=20694 obj=142.36191 diff=0.00430
iter=284 terr=0.00100 serr=1.00000 act=20694 obj=141.52640 diff=0.00587
iter=285 terr=0.00100 serr=1.00000 act=20694 obj=141.35071 diff=0.00124
iter=286 terr=0.00100 serr=1.00000 act=20694 obj=141.09460 diff=0.00181
iter=287 terr=0.00112 serr=1.00000 act=20694 obj=140.10647 diff=0.00700
iter=288 terr=0.00280 serr=1.00000 act=20694 obj=141.61738 diff=0.01078
iter=289 terr=0.00112 serr=1.00000 act=20694 obj=139.94436 diff=0.01181
iter=290 terr=0.00112 serr=1.00000 act=20694 obj=139.62789 diff=0.00226
iter=291 terr=0.00112 serr=1.00000 act=20694 obj=138.87922 diff=0.00536
iter=292 terr=0.00112 serr=1.00000 act=20694 obj=138.56291 diff=0.00228
iter=293 terr=0.00100 serr=1.00000 act=20694 obj=138.21779 diff=0.00249
iter=294 terr=0.00100 serr=1.00000 act=20694 obj=137.41239 diff=0.00583
iter=295 terr=0.00232 serr=1.00000 act=20694 obj=139.51701 diff=0.01532
iter=296 terr=0.00100 serr=1.00000 act=20694 obj=137.21693 diff=0.01649
iter=297 terr=0.00100 serr=1.00000 act=20694 obj=136.73769 diff=0.00349
iter=298 terr=0.00092 serr=1.00000 act=20694 obj=136.56441 diff=0.00127
iter=299 terr=0.00094 serr=1.00000 act=20694 obj=136.32805 diff=0.00173
iter=300 terr=0.00112 serr=1.00000 act=20694 obj=136.10817 diff=0.00161
iter=301 terr=0.00106 serr=1.00000 act=20694 obj=135.51564 diff=0.00435
iter=302 terr=0.00106 serr=1.00000 act=20694 obj=134.21547 diff=0.00959
iter=303 terr=0.00077 serr=1.00000 act=20694 obj=133.61482 diff=0.00448
iter=304 terr=0.00077 serr=1.00000 act=20694 obj=132.90207 diff=0.00533
